id,year,category,nominee,staff,company,producer,win
24,2019, Casting For A Comedy Series,Russian Doll,"Christine Kromer, CSA, Casting by",Netflix,"Universal Television in association with Jax Media, Paper Kite Productions, 3 Arts Entertainment, Shoot to Midnight, Avenue A",False
25,2019, Casting For A Comedy Series,Veep,"Dorian Frankel, CSA, Casting by Sibby Kirchgessner, CSA, Casting by",HBO,HBO Entertainment,False
26,2019, Casting For A Drama Series,Killing Eve,"Suzanne Crowley, Casting by Gilly Poole, Casting by",BBC America,Sid Gentle Films Ltd.,False
27,2019, Casting For A Drama Series,Ozark,"Alexa L. Fogel, CSA, Casting by Tara Feldstein Bennett, CSA, Location Casting Chase Paris, CSA, Location Casting",Netflix,Media Rights Capital,False
28,2019, Casting For A Drama Series,Pose,"Alexa L. Fogel, CSA, Casting by",FX Networks,Fox 21 Television Studios and FX Productions,False
29,2019, Casting For A Drama Series,Succession,"Francine Maisler, CSA, Original Casting by Douglas Aibel, CSA, Casting by Henry Russell Bergstein, CSA, Casting by",HBO,HBO Entertainment in association with Project Zeus and Gary Sanchez Productions,False
30,2019," Casting For A Limited Series, Movie Or Special",Escape At Dannemora,"Rachel Tenner, CSA, Casting by",Showtime,"Red Hour, Busyhands, The White Mountain Company, Michael De Luca Productions, BZ Entertainment",False
31,2019," Casting For A Limited Series, Movie Or Special",Fosse/Verdon,"Bernie Telsey, CSA, Casting by Tiffany Little Canfield, CSA, Casting by",FX Networks,Fox 21 Television Studios and FX Productions,False
32,2019," Casting For A Limited Series, Movie Or Special",Sharp Objects,"David Rubin, Casting by",HBO,"HBO Entertainment in association with eOne and Tiny Pyro Productions, Blumhouse Television, Fourth Born, Crazyrose Productions",False
33,2019, Choreography For Variety Or Reality Programming,So You Think You Can Dance,"Travis Wall, Choreographer",FOX,"Dick Clark Productions, Inc. and 19 Entertainment",False
34,2019, Choreography For Variety Or Reality Programming,So You Think You Can Dance,"Luther Brown, Choreographer",FOX,"Dick Clark Productions, Inc. and 19 Entertainment",False
35,2019, Choreography For Variety Or Reality Programming,World Of Dance,"Suresh Mukund, Choreographer",NBC,Universal Television Alternative Studio in association with Nuyorican Productions and World of Dance,False
36,2019, Choreography For Variety Or Reality Programming,World Of Dance,"Karen Forcano, Choreographer Ricardo Vega, Choreographer",NBC,Universal Television Alternative Studio in association with Nuyorican Productions and World of Dance,False
37,2019, Cinematography For A Multi-Camera Series,Rel,"George Mooradian, ASC, Director of Photography",FOX,20th Century Fox Television,False
38,2019, Cinematography For A Multi-Camera Series,Will & Grace,"Gary Baum, ASC, Director of Photography",NBC,Universal Television in association with KoMut Entertainment and Three Princesses and a P,False
39,2019, Cinematography For A Single-Camera Series (One Hour),Game Of Thrones,"Jonathan Freeman, ASC, Director of Photography",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",False
40,2019, Cinematography For A Single-Camera Series (One Hour),The Handmaid's Tale,"Zoë White, Director of Photography",Hulu,"MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",False
41,2019, Cinematography For A Single-Camera Series (One Hour),The Handmaid's Tale,"Colin Watkinson, Director of Photography",Hulu,"MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",False
42,2019, Cinematography For A Single-Camera Series (One Hour),Hanna,"Dana Gonzales, ASC, Director of Photography",Prime Video,Universal Media Studios International and Amazon Studios,False
43,2019, Cinematography For A Single-Camera Series (One Hour),The Man In The High Castle,"Gonzalo Amat, Director of Photography",Prime Video,Amazon Studios,False
