duration,converted_budget,dir_oscar_nomination,writer_oscar_nomination,cast_globe_nomination,BAFTA_act_nom,BAFTA_dir_nom,BAFTA_writer_nom,dir_emmy_nom,writer_emmy_nom,act_emmy_nom,actors_films_before,director_films_before,writers_films_before,genre,language,production_company,month_published,revenue_cluster
65.0,17397062.7,0,0,0,0,0,0,0,0,0,3,1,1,"Drama, Romance",English,MGM,5,0
136.0,21891018.0,3,0,0,0,0,0,0,0,0,1,0,0,"Drama, War",English,Universal,10,0
97.0,26430923.2,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Musical",English,Paramount,9,2
85.0,72057934.1,0,0,0,0,0,0,0,0,0,0,0,1,"Crime, Drama, Romance",English,Other,9,2
69.0,5126146.7,1,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Romance",English,Other,2,0
116.0,17877664.7,0,0,0,0,0,0,0,0,0,1,3,2,"Musical, Romance, Comedy",English,MGM,9,3
83.0,6147727.5,0,0,0,0,0,0,0,0,0,3,0,0,"Drama, Fantasy",English,Warner,11,0
76.0,9048287.4,2,0,0,0,0,0,0,0,0,1,1,0,"Drama, Romance",English,MGM,1,3
55.0,1878979.0,0,0,0,0,0,0,0,0,0,4,1,2,Fantasy,French,Other,5,0
85.0,7953736.5,1,1,0,0,0,0,0,0,0,0,1,0,"Drama, Music, Romance",English,Twentieth Century Fox,8,0
68.0,2003178.1,0,0,0,0,0,0,0,0,0,0,1,0,Drama,English,Universal,7,0
72.0,7131314.0,0,0,0,0,0,0,0,0,0,2,0,1,"Drama, Romance, War",English,Other,12,0
87.0,28705541.9,0,0,0,0,0,0,0,0,0,1,4,4,"Comedy, Drama, Romance",English,Other,8,0
83.0,30047671.2,0,0,0,0,0,0,0,0,0,2,0,0,"Crime, Drama, Film-Noir",English,Paramount,4,2
75.0,7111282.2,0,0,0,0,0,0,0,0,0,1,2,1,"Fantasy, Horror",English,Universal,6,1
