LOCATION;Country;Subject.1;Measure.1;FREQUENCY;Frequency.1;TIME;Time.1;Reference Period Code;Value
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2011-Q4;Q4-2011;2015_100;9633334
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2012-Q1;Q1-2012;2015_100;976
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2012-Q2;Q2-2012;2015_100;983
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2012-Q3;Q3-2012;2015_100;9846667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2012-Q4;Q4-2012;2015_100;985
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2013-Q1;Q1-2013;2015_100;9873333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2013-Q2;Q2-2013;2015_100;9913333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2013-Q3;Q3-2013;2015_100;9896667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2013-Q4;Q4-2013;2015_100;9913333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2014-Q1;Q1-2014;2015_100;9933334
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2014-Q2;Q2-2014;2015_100;9973333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2014-Q3;Q3-2014;2015_100;9953333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2014-Q4;Q4-2014;2015_100;996
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2015-Q1;Q1-2015;2015_100;996
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2015-Q2;Q2-2015;2015_100;1003333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2015-Q3;Q3-2015;2015_100;1001333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2015-Q4;Q4-2015;2015_100;9993333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2016-Q1;Q1-2016;2015_100;999
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2016-Q2;Q2-2016;2015_100;1004667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2016-Q3;Q3-2016;2015_100;1003
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2016-Q4;Q4-2016;2015_100;1003333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2017-Q1;Q1-2017;2015_100;1008667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2017-Q2;Q2-2017;2015_100;1013
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2017-Q3;Q3-2017;2015_100;1018333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2017-Q4;Q4-2017;2015_100;1016
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2018-Q1;Q1-2018;2015_100;1014667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2018-Q2;Q2-2018;2015_100;1023
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2018-Q3;Q3-2018;2015_100;1027333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2018-Q4;Q4-2018;2015_100;1024
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2019-Q1;Q1-2019;2015_100;1026667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2019-Q2;Q2-2019;2015_100;1030667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2019-Q3;Q3-2019;2015_100;1031667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2019-Q4;Q4-2019;2015_100;1031
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2020-Q1;Q1-2020;2015_100;1033
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2020-Q2;Q2-2020;2015_100;1031667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2020-Q3;Q3-2020;2015_100;1037
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2020-Q4;Q4-2020;2015_100;1035667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2021-Q1;Q1-2021;2015_100;1040333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2021-Q2;Q2-2021;2015_100;1048667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2021-Q3;Q3-2021;2015_100;1056667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2021-Q4;Q4-2021;2015_100;1068333
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2022-Q1;Q1-2022;2015_100;1090667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2022-Q2;Q2-2022;2015_100;1126667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2022-Q3;Q3-2022;2015_100;1154
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2022-Q4;Q4-2022;2015_100;1167
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2023-Q1;Q1-2023;2015_100;1170667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2023-Q2;Q2-2023;2015_100;1166667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2023-Q3;Q3-2023;2015_100;1178667
DNK;Denmark;CPI: 01-12 - All items;Index;Q;Quarterly;2023-Q4;Q4-2023;2015_100;1172333
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;1998-Q1;Q1-1998;2015_100;6604871
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;1998-Q2;Q2-1998;2015_100;6835679
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;1998-Q3;Q3-1998;2015_100;676662
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;1998-Q4;Q4-1998;2015_100;6863024
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;1999-Q1;Q1-1999;2015_100;6842229
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;1999-Q2;Q2-1999;2015_100;7001154
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;1999-Q3;Q3-1999;2015_100;6903955
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;1999-Q4;Q4-1999;2015_100;7036598
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2000-Q1;Q1-2000;2015_100;7040395
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2000-Q2;Q2-2000;2015_100;7188553
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2000-Q3;Q3-2000;2015_100;7108234
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2000-Q4;Q4-2000;2015_100;7322277
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2001-Q1;Q1-2001;2015_100;7273863
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2001-Q2;Q2-2001;2015_100;7453498
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2001-Q3;Q3-2001;2015_100;7376296
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2001-Q4;Q4-2001;2015_100;752276
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2002-Q1;Q1-2002;2015_100;7561907
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2002-Q2;Q2-2002;2015_100;7715078
